Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,RA/G,ERA,G,CG,tSho,SV,IP,H,R,ER,HR,BB,SO,WHIP,SO9,HR9,E,DP,Fld%,PAge,W
4,4.39,162,6116,5437,711,1404,294,25,144,682,100,39,522,990,0.258,0.326,0.401,0.727,102,152,0.983,27.7,4.42,4.01,162,15,10,42,1437.2,1467,716,640,181,463,1028,1.342,6.44,1.13,102,152,0.983,26.7,83
2,4.54,162,6250,5479,735,1432,300,36,162,695,118,64,575,1104,0.261,0.334,0.418,0.752,139,160,0.978,28.2,4.43,3.97,162,9,3,39,1453,1475,718,641,165,508,1088,1.365,6.74,1.02,139,160,0.978,27.7,83
5,4.14,162,6026,5379,670,1361,320,28,131,622,101,51,478,1071,0.253,0.319,0.396,0.715,108,139,0.982,27.6,5.01,4.68,162,5,11,28,1431.1,1509,812,745,190,525,1103,1.421,6.94,1.19,108,139,0.982,27.4,68
2,4.53,162,6089,5366,734,1288,262,24,198,700,77,19,564,1402,0.24,0.318,0.408,0.726,94,142,0.984,29.1,4.6,4.39,162,5,12,36,1418.2,1321,745,692,200,509,1480,1.29,9.39,1.27,94,142,0.984,28.8,82
4,4.78,162,6261,5571,774,1369,311,26,215,742,78,18,562,1453,0.246,0.319,0.427,0.746,97,136,0.984,27.6,4.9,4.53,162,3,7,36,1453.2,1452,794,731,258,546,1392,1.374,8.62,1.6,97,136,0.984,28.4,81
3,4.18,162,6136,5424,677,1271,241,30,186,653,69,26,582,1520,0.234,0.314,0.393,0.707,123,138,0.979,26.7,4.49,4.14,162,0,12,44,1445.2,1366,728,665,171,500,1465,1.291,9.12,1.06,123,138,0.979,26.8,80
5,4.26,162,6133,5535,690,1382,287,36,174,654,59,25,494,1417,0.25,0.315,0.409,0.723,82,145,0.986,26.6,4.83,4.55,162,1,7,33,1441,1471,782,729,221,527,1309,1.387,8.18,1.38,82,145,0.986,26.8,66
4,3.77,162,5992,5434,610,1305,231,35,161,574,96,45,424,1376,0.24,0.301,0.384,0.685,97,142,0.984,26.9,4.91,4.63,162,4,12,43,1437,1468,796,739,213,466,1299,1.346,8.14,1.33,97,142,0.984,26.3,71
5,3.86,162,6053,5529,626,1374,272,37,130,586,88,32,387,1274,0.249,0.303,0.382,0.684,117,145,0.981,28,4.99,4.69,162,1,7,35,1436.1,1592,809,749,191,488,1153,1.448,7.22,1.2,117,145,0.981,28.5,63
5,3.82,162,6198,5603,619,1356,251,27,125,584,109,26,443,1306,0.242,0.302,0.363,0.665,83,133,0.987,30.8,4.24,3.79,162,2,12,40,1468.1,1396,687,619,134,521,1255,1.306,7.69,0.82,83,133,0.987,30.1,73
4,3.77,162,6014,5456,610,1355,255,32,140,578,73,29,417,1205,0.248,0.306,0.384,0.69,97,141,0.984,30,4.62,4.32,162,6,3,32,1436.1,1465,749,689,152,506,1199,1.372,7.51,0.95,97,141,0.984,28.7,73
3,4.22,162,6172,5544,684,1414,271,28,158,659,116,23,454,1094,0.255,0.317,0.4,0.716,101,118,0.983,31.1,4.2,3.83,162,5,11,42,1451.1,1387,680,618,178,409,1385,1.237,8.59,1.1,101,118,0.983,29.1,81
1,4.4,162,6279,5579,713,1409,258,38,153,693,96,24,539,1024,0.253,0.323,0.395,0.717,74,135,0.988,31.4,3.27,3.02,162,18,21,47,1477,1320,529,495,120,404,1299,1.167,7.92,0.73,74,135,0.988,29.2,102
1,4.77,162,6291,5581,772,1451,290,34,166,736,108,21,560,1064,0.26,0.332,0.413,0.745,83,158,0.986,31.8,3.95,3.67,162,14,21,40,1456.1,1402,640,594,168,416,1183,1.248,7.31,1.04,83,158,0.986,31.1,97
1,5.06,162,6338,5578,820,1439,312,35,224,788,119,28,589,1155,0.258,0.334,0.447,0.781,76,132,0.987,31.3,4.38,4.16,162,8,9,44,1455.2,1479,709,673,189,489,1153,1.352,7.13,1.17,76,132,0.987,31.2,93
1,4.93,162,6273,5509,799,1407,291,36,214,762,136,25,586,1117,0.255,0.332,0.438,0.77,90,142,0.985,30.1,4.2,3.88,162,4,11,47,1449.2,1444,680,625,160,533,1081,1.364,6.71,0.99,90,142,0.985,30.6,92
1,5.51,162,6537,5688,892,1558,326,41,213,850,138,19,641,1205,0.274,0.354,0.458,0.812,89,162,0.986,28.8,5.07,4.73,162,5,5,42,1458.1,1555,821,767,198,558,1050,1.449,6.48,1.22,89,162,0.986,30.6,89
2,5.34,162,6509,5687,865,1518,294,41,216,823,92,25,626,1203,0.267,0.347,0.447,0.794,104,153,0.983,29.3,5.01,4.6,162,4,6,42,1460.1,1561,812,747,211,512,1138,1.42,7.01,1.3,104,153,0.983,30.5,85
2,4.98,162,6345,5542,807,1494,282,35,167,760,116,27,639,1083,0.27,0.348,0.423,0.772,90,132,0.985,30,4.48,4.21,162,4,6,40,1435,1379,726,672,189,487,1159,1.3,7.27,1.19,90,132,0.985,29.7,88
2,5.19,162,6456,5643,840,1505,303,23,215,802,100,27,645,1133,0.267,0.345,0.443,0.788,81,142,0.987,29.3,4.82,4.45,162,4,5,43,1462.2,1488,781,724,214,502,1070,1.361,6.58,1.32,81,142,0.987,29.8,86
3,4.88,162,6333,5543,791,1448,325,27,166,757,72,29,651,1155,0.261,0.343,0.419,0.762,97,146,0.984,28.3,4.3,4.04,162,9,13,33,1443.2,1386,697,648,142,536,1060,1.331,6.61,0.89,97,146,0.984,29,86
3,4.41,161,6323,5523,710,1428,325,41,165,676,104,43,640,1095,0.259,0.339,0.422,0.761,88,156,0.986,27.5,4.5,4.17,161,5,9,47,1449.2,1381,724,671,153,570,1075,1.346,6.67,0.95,88,156,0.986,28.5,80
2,4.6,162,6219,5497,746,1431,295,29,164,708,153,47,551,1125,0.26,0.329,0.414,0.743,91,145,0.985,26.9,4.44,4.15,162,8,7,47,1445.1,1417,719,667,170,527,1086,1.345,6.76,1.06,91,145,0.985,28.9,86
4,4.35,162,5972,5306,705,1255,225,26,210,672,86,37,502,1596,0.237,0.312,0.407,0.719,87,149,0.985,29.1,5.18,4.87,162,1,8,40,1412.2,1386,839,765,235,596,1358,1.403,8.65,1.5,87,149,0.985,29.4,71
3,5.02,162,6195,5461,814,1378,270,26,256,783,45,24,581,1460,0.252,0.331,0.452,0.783,118,141,0.981,27.7,4.43,4.1,162,1,10,38,1442,1376,717,657,195,534,1444,1.325,9.01,1.22,118,141,0.981,31.1,84
2,4.67,163,6369,5624,761,1453,286,34,167,722,66,38,576,1388,0.258,0.333,0.41,0.744,104,155,0.983,27.2,3.96,3.65,163,1,18,46,1476.1,1319,645,598,157,622,1333,1.315,8.13,0.96,104,155,0.983,30.2,95
1,5.07,162,6283,5496,822,1402,274,29,223,785,62,31,622,1401,0.255,0.338,0.437,0.775,95,139,0.984,27.1,4.29,3.95,162,2,8,38,1447.1,1294,695,636,194,554,1439,1.277,8.95,1.21,95,139,0.984,30.8,92
1,4.99,162,6335,5503,808,1409,293,30,199,767,66,34,656,1339,0.256,0.343,0.429,0.772,101,116,0.983,27.4,3.43,3.15,162,5,15,38,1459.2,1125,556,511,163,495,1441,1.11,8.88,1.01,101,116,0.983,29.9,103
3,4.25,162,6200,5491,689,1341,272,30,171,657,95,37,567,1518,0.244,0.321,0.398,0.719,111,120,0.982,26.9,3.75,3.36,162,6,21,48,1461.1,1276,608,546,134,407,1431,1.152,8.81,0.83,111,120,0.982,29.3,97
